Score1	Score2	Pearson
Pearson Correlation	Roberts Distance	-0.947171984043164
Pearson Correlation	Motyka Distance	0.940964382005471
Pearson Correlation	Canberra Distance	0.117470575396621
Pearson Correlation	Canberra Metric	-0.534138127940009
Pearson Correlation	Kulczynski 1 Distance	-0.0972396895504743
Pearson Correlation	Lorentzian Distance	-0.378820818822764
Pearson Correlation	Clark Distance	0.0995992131272598
Pearson Correlation	Hellinger Distance	-0.570756794254509
Pearson Correlation	Whittaker index of association Distance	-0.149830348564832
Pearson Correlation	Spectral Contrast Angle	-0.988383033114341
Pearson Correlation	Wave Hedges Distance	0.132533197798217
Pearson Correlation	Dice Similarity	0.992831062484023
Pearson Correlation	Inner Product Distance	-0.925582712314517
Pearson Correlation	Divergence Distance	0.0955596390063766
Pearson Correlation	Jensen Differences Distance	-0.514076501816131
Pearson Correlation	Kumar Johnson Distance	-0.0932770461939042
Pearson Correlation	Avg (L1, L8) Distance	-0.469394044250585
Pearson Correlation	Vicis Wave Hadges Distance	-0.0799989126113928
Pearson Correlation	Vicis-Symmetric X2 1 Distance	-0.0735673684275454
Pearson Correlation	Vicis-Symmetric X2 2 Distance	-0.125824702905951
Pearson Correlation	Vicis-Symmetric X2 3 Distance	-0.484501851960958
Pearson Correlation	Max Symmetric Chi Squared Distance	-0.125657283594629
Pearson Correlation	Min Symmetric Chi Squared Distance	-0.494646238041306
Pearson Correlation	Additive Symmetric Chi Squared	-0.125824702905951
Pearson Correlation	Battacharya Distance	-0.474889747476916
Pearson Correlation	Generalized Ochai Index	-0.949801102031952
Pearson Correlation	Gower Distance	-0.567992024478375
Pearson Correlation	Improved Square Root Cosine Similarity	0.596259322765989
Pearson Correlation	Intersection Similarity	0.832636979052703
Pearson Correlation	J Divergence	-0.536296297196271
Pearson Correlation	Jensen Shannon Index	-0.514076501816131
Pearson Correlation	K Divergence	-0.360215115267095
Pearson Correlation	VW6	-0.494646238041306
Pearson Correlation	VW5	-0.125657283594629
Pearson Correlation	VW4	-0.484501851960958
Pearson Correlation	VW3	-0.125824702905951
Pearson Correlation	VW2	-0.0735673684275454
Pearson Correlation	VW1	-0.0799989126113928
Pearson Correlation	Taneja Divergence	-0.535255142159248
Pearson Correlation	Symmetric Chi Squared Distance	-0.0799989126113929
Pearson Correlation	Squared Chi Squared Distance	-0.500529010024252
Pearson Correlation	Square Root Cosine Correlation	0.790078132731161
Pearson Correlation	Sorensen Distance	-0.940964382005471
Pearson Correlation	Minokowski 3 Distance	-0.870810458589367
Pearson Correlation	Minokowski 4 Distance	-0.877751149200824
Pearson Correlation	Kumar Johnson Divergence	-0.0932770461939042
Pearson Correlation	Kumar Hassebrook Similarity	0.975392169804352
Pearson Correlation	Kullback Leibler Divergence	-0.386980834486608
Pearson Correlation	Soergel Distance	-0.914566725161952
Spearman Correlation	Spectral Similarity Score	0.585269580111267
Spearman Correlation	Weighted Cosine Correlation	0.732457101848862
Spearman Correlation	Cosine Correlation	0.585269580111267
Spearman Correlation	Stein Scott Similarity	0.706249363883566
Spearman Correlation	Stein Scott Similarity Nist	0.774907659060137
Spearman Correlation	Pearson Correlation	0.604623188830342
Spearman Correlation	Spearman Correlation	1
Spearman Correlation	Kendall Tau Correlation	0.998894215211079
Spearman Correlation	Euclidean Distance	-0.407839729892456
Spearman Correlation	Manhattan Distance	-0.217833054254174
Spearman Correlation	Jaccard Distance	-0.56963178442124
Spearman Correlation	DWT Correlation	0.731229676491558
Spearman Correlation	DFT Correlation	0.760741711130518
