Score1	Score2	Pearson
Stein Scott Similarity Nist	Squared Euclidean Distance	-0.464493269376554
Stein Scott Similarity Nist	Fidelity Similarity	0.848054421202825
Stein Scott Similarity Nist	Matusita Distance	-0.87318563988398
Stein Scott Similarity Nist	Squared-chord Distance	-0.84805442120239
Stein Scott Similarity Nist	Harmonic mean Distance	0.830739954126317
Stein Scott Similarity Nist	Pearson Chi Squared Distance	-0.0811272437913897
Stein Scott Similarity Nist	Neyman Chi Squared Distance	-0.331321055349114
Stein Scott Similarity Nist	Probabilistic symmetric X2 Distance	-0.830739954126363
Stein Scott Similarity Nist	Topsoe Distance	-0.839020022678089
Stein Scott Similarity Nist	Chernoff Distance	-0.680208538633042
Stein Scott Similarity Nist	Ruzicka Distance	-0.830550915096633
Stein Scott Similarity Nist	Roberts Distance	-0.795253690606041
Stein Scott Similarity Nist	Motyka Distance	0.816803867439276
Stein Scott Similarity Nist	Canberra Distance	0.111317598754328
Stein Scott Similarity Nist	Canberra Metric	-0.711091500170804
Stein Scott Similarity Nist	Kulczynski 1 Distance	-0.130211962818272
Stein Scott Similarity Nist	Lorentzian Distance	-0.806903908885583
Stein Scott Similarity Nist	Clark Distance	0.0729686261357903
Stein Scott Similarity Nist	Hellinger Distance	-0.873185639883505
Stein Scott Similarity Nist	Whittaker index of association Distance	-0.0965933379006308
Stein Scott Similarity Nist	Spectral Contrast Angle	-0.682617444932929
Stein Scott Similarity Nist	Wave Hedges Distance	0.134422032086448
Stein Scott Similarity Nist	Dice Similarity	0.681887663416259
Stein Scott Similarity Nist	Inner Product Distance	-0.479441707160848
Stein Scott Similarity Nist	Divergence Distance	0.0772881678324166
Stein Scott Similarity Nist	Jensen Differences Distance	-0.839020022680917
Stein Scott Similarity Nist	Kumar Johnson Distance	-0.0426789417543607
Stein Scott Similarity Nist	Avg (L1, L8) Distance	-0.768069295430265
Stein Scott Similarity Nist	Vicis Wave Hadges Distance	-0.0383036175992132
Stein Scott Similarity Nist	Vicis-Symmetric X2 1 Distance	-0.0199834286879546
Stein Scott Similarity Nist	Vicis-Symmetric X2 2 Distance	-0.0814827073160434
Stein Scott Similarity Nist	Vicis-Symmetric X2 3 Distance	-0.825653803436818
Stein Scott Similarity Nist	Max Symmetric Chi Squared Distance	-0.0811366427274646
Stein Scott Similarity Nist	Min Symmetric Chi Squared Distance	-0.335823763783408
Stein Scott Similarity Nist	Additive Symmetric Chi Squared	-0.0814827073160435
Stein Scott Similarity Nist	Battacharya Distance	-0.497117570750108
Stein Scott Similarity Nist	Generalized Ochai Index	-0.816803867438036
Stein Scott Similarity Nist	Gower Distance	-0.449191433400584
Stein Scott Similarity Nist	Improved Square Root Cosine Similarity	0.466865586054805
Stein Scott Similarity Nist	Intersection Similarity	0.816803867437999
Stein Scott Similarity Nist	J Divergence	-0.808095860421802
Stein Scott Similarity Nist	Jensen Shannon Index	-0.839020022680918
Stein Scott Similarity Nist	K Divergence	-0.814625093490292
Stein Scott Similarity Nist	VW6	-0.335823763783408
Stein Scott Similarity Nist	VW5	-0.0811366427274646
Stein Scott Similarity Nist	VW4	-0.825653803436818
Stein Scott Similarity Nist	VW3	-0.0814827073160434
Stein Scott Similarity Nist	VW2	-0.0199834286879546
Stein Scott Similarity Nist	VW1	-0.0383036175992132
Stein Scott Similarity Nist	Taneja Divergence	-0.803555400895833
Stein Scott Similarity Nist	Symmetric Chi Squared Distance	-0.0383036163722189
Stein Scott Similarity Nist	Squared Chi Squared Distance	-0.830739954126396
Stein Scott Similarity Nist	Square Root Cosine Correlation	0.848054421202825
Stein Scott Similarity Nist	Sorensen Distance	-0.816803867438036
Stein Scott Similarity Nist	Minokowski 3 Distance	-0.477122120399195
Stein Scott Similarity Nist	Minokowski 4 Distance	-0.451210731219843
Stein Scott Similarity Nist	Kumar Johnson Divergence	-0.0426789417543607
Stein Scott Similarity Nist	Kumar Hassebrook Similarity	0.695079987923108
Stein Scott Similarity Nist	Kullback Leibler Divergence	-0.69123476186331
Stein Scott Similarity Nist	Soergel Distance	-0.830550915096633
Pearson Correlation	Spectral Similarity Score	0.994240511869918
Pearson Correlation	Weighted Cosine Correlation	0.623444338024477
Pearson Correlation	Cosine Correlation	0.994240511869918
Pearson Correlation	Stein Scott Similarity	0.552160779917477
Pearson Correlation	Stein Scott Similarity Nist	0.662961446394316
Pearson Correlation	Pearson Correlation	1
Pearson Correlation	Spearman Correlation	0.60462318882985
Pearson Correlation	Kendall Tau Correlation	0.602169452510247
Pearson Correlation	Euclidean Distance	-0.59594569570974
Pearson Correlation	Manhattan Distance	-0.892665938045559
Pearson Correlation	Jaccard Distance	-0.959827535421242
Pearson Correlation	DWT Correlation	0.84675393125683
Pearson Correlation	DFT Correlation	0.804524431000342
Pearson Correlation	Chebyshev Distance	-0.434554993281458
Pearson Correlation	Squared Euclidean Distance	-0.487445019891857
Pearson Correlation	Fidelity Similarity	0.888268895475938
Pearson Correlation	Matusita Distance	-0.879052100654985
Pearson Correlation	Squared-chord Distance	-0.888268895476129
Pearson Correlation	Harmonic mean Distance	0.904586828307354
Pearson Correlation	Pearson Chi Squared Distance	-0.092724418046263
Pearson Correlation	Neyman Chi Squared Distance	-0.33780306817339
Pearson Correlation	Probabilistic symmetric X2 Distance	-0.904586828307229
Pearson Correlation	Topsoe Distance	-0.901069203820183
Pearson Correlation	Chernoff Distance	-0.693312028599417
Pearson Correlation	Ruzicka Distance	-0.864267350017701
Pearson Correlation	Roberts Distance	-0.868733555794012
Pearson Correlation	Motyka Distance	0.892665938045328
Pearson Correlation	Canberra Distance	0.120087940354521
Pearson Correlation	Canberra Metric	-0.49455024231315
Pearson Correlation	Kulczynski 1 Distance	-0.0959901123200186
Pearson Correlation	Lorentzian Distance	-0.883646460483817
Pearson Correlation	Clark Distance	0.101745606521001
Pearson Correlation	Hellinger Distance	-0.879052100655051
Pearson Correlation	Whittaker index of association Distance	-0.149830348564821
Pearson Correlation	Spectral Contrast Angle	-0.988383033113836
Pearson Correlation	Wave Hedges Distance	0.135378155241197
Pearson Correlation	Dice Similarity	0.980391248708789
Pearson Correlation	Inner Product Distance	-0.821018148191744
Pearson Correlation	Divergence Distance	0.0978301843099256
Pearson Correlation	Jensen Differences Distance	-0.901069203816639
Pearson Correlation	Kumar Johnson Distance	-0.0450017576585168
Pearson Correlation	Avg (L1, L8) Distance	-0.830490985453588
Pearson Correlation	Vicis Wave Hadges Distance	-0.0585054162941491
Pearson Correlation	Vicis-Symmetric X2 1 Distance	-0.0281604224279256
Pearson Correlation	Vicis-Symmetric X2 2 Distance	-0.0930868502390982
Pearson Correlation	Vicis-Symmetric X2 3 Distance	-0.902623415135304
Pearson Correlation	Max Symmetric Chi Squared Distance	-0.0927321732016238
Pearson Correlation	Min Symmetric Chi Squared Distance	-0.344189380376043
Pearson Correlation	Additive Symmetric Chi Squared	-0.0930868502390983
Pearson Correlation	Battacharya Distance	-0.48371577449601
Pearson Correlation	Generalized Ochai Index	-0.892665938046006
Pearson Correlation	Gower Distance	-0.465161479019187
Pearson Correlation	Improved Square Root Cosine Similarity	0.596259322755129
Pearson Correlation	Intersection Similarity	0.892665938046024
Pearson Correlation	J Divergence	-0.775667499395276
Pearson Correlation	Jensen Shannon Index	-0.901069203816639
Pearson Correlation	K Divergence	-0.866790741632573
Pearson Correlation	VW6	-0.344189380376043
Pearson Correlation	VW5	-0.0927321732016238
Pearson Correlation	VW4	-0.902623415135304
Pearson Correlation	VW3	-0.0930868502390982
Pearson Correlation	VW2	-0.0281604224279256
Pearson Correlation	VW1	-0.0585054162941491
Pearson Correlation	Taneja Divergence	-0.767460527496226
Pearson Correlation	Symmetric Chi Squared Distance	-0.058505415614285
Pearson Correlation	Squared Chi Squared Distance	-0.904586828307315
Pearson Correlation	Square Root Cosine Correlation	0.888268895475937
Pearson Correlation	Sorensen Distance	-0.892665938046006
Pearson Correlation	Minokowski 3 Distance	-0.506830836253661
Pearson Correlation	Minokowski 4 Distance	-0.47500789482134
Pearson Correlation	Kumar Johnson Divergence	-0.0450017576585168
Pearson Correlation	Kumar Hassebrook Similarity	0.959827535421474
Pearson Correlation	Kullback Leibler Divergence	-0.63939764897148
Pearson Correlation	Soergel Distance	-0.864267350017701
Spearman Correlation	Spectral Similarity Score	0.585269580110372
Spearman Correlation	Weighted Cosine Correlation	0.732457101848143
Spearman Correlation	Cosine Correlation	0.585269580110372
Spearman Correlation	Stein Scott Similarity	0.706249363884836
Spearman Correlation	Stein Scott Similarity Nist	0.774907659060002
Spearman Correlation	Pearson Correlation	0.60462318882985
